Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
NIFTY,28-Feb-2015,30-Apr-2015,CE,8200.00,811.00,811.00,743.70,743.70,743.70,743.70,3.00,6.72,57000.00,700.00,25.00,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,8700.00,416.80,462.15,317.20,403.35,436.00,403.35,699.00,1587.37,6704500.00,17625.00,11400.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8650.00,360.05,389.00,261.00,359.55,380.00,359.55,206.00,461.97,1649500.00,4750.00,-1025.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9300.00,51.20,54.55,17.75,37.20,44.30,37.20,580258.00,1354246.74,514689000.00,2131375.00,-95750.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9550.00,11.35,15.80,4.15,8.10,10.00,8.10,587.00,1403.02,155750.00,12250.00,12200.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10200.00,-,-,-,0.50,0.50,0.30,-,-,-,25.00,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7100.00,-,-,-,1750.00,1750.00,1903.95,-,-,-,1000.00,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7650.00,-,-,-,1472.40,-,1363.60,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,9150.00,146.00,146.00,146.00,146.00,146.00,146.00,4.00,9.30,15000.00,100.00,100.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8050.00,-,-,-,790.00,790.00,901.15,-,-,-,25.00,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10150.00,-,-,-,22.80,-,0.45,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,11000.00,0.05,2.00,0.05,0.70,1.00,0.70,264.00,726.12,12000.00,6225.00,6150.00,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7450.00,-,-,-,1663.60,-,1559.45,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,8000.00,988.25,1020.00,875.10,1007.35,1018.00,1007.35,1490.00,3346.19,36619000.00,202625.00,27925.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8350.00,-,-,-,360.00,360.00,612.65,-,-,-,25.00,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9000.00,145.70,165.00,79.00,138.90,150.75,138.90,906898.00,2069123.31,2860281000.00,5788275.00,508925.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9450.00,25.00,28.55,7.10,16.00,19.15,16.00,1501.00,3553.55,743750.00,17450.00,14925.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10050.00,-,-,-,16.10,-,0.85,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10400.00,-,-,-,4.90,-,0.10,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,8950.00,363.70,363.70,201.00,224.00,224.00,224.00,21.00,48.30,131250.00,10600.00,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8550.00,432.85,459.55,323.65,421.10,421.10,421.10,7.00,15.68,71750.00,250.00,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9200.00,77.00,85.00,30.00,61.10,70.00,61.10,1043008.00,2413747.99,1482959000.00,3727675.00,898375.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9700.00,5.15,13.95,1.90,3.05,3.90,3.05,78778.00,191107.06,7041000.00,415825.00,86275.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10350.00,-,-,-,11.45,-,0.10,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7400.00,-,-,-,1567.00,-,1608.60,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7950.00,-,-,-,1193.75,-,1074.30,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,8450.00,-,-,-,771.05,-,629.45,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8750.00,301.25,320.00,182.60,285.80,300.40,285.80,2183.00,4923.81,14849750.00,19100.00,-5875.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,7950.00,-,-,-,508.40,-,999.75,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10900.00,-,-,-,0.35,-,-,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7350.00,-,-,-,1614.85,-,1657.75,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7900.00,1152.30,1152.30,1152.30,1152.30,1152.30,1152.30,21.00,47.52,604500.00,525.00,525.00,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,8900.00,295.00,310.05,203.30,288.60,305.60,288.60,2359.00,5409.84,16106500.00,22875.00,5950.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8100.00,850.70,884.00,695.05,857.65,875.10,857.65,769.00,1715.25,15802500.00,82525.00,-975.00,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,8400.00,-,-,-,530.00,530.00,670.30,-,-,-,100.00,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8950.00,190.00,190.40,95.60,163.25,177.00,163.25,13869.00,31564.92,53303250.00,62150.00,21925.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9650.00,6.50,6.50,1.00,3.00,3.00,3.00,529.00,1276.91,69750.00,8950.00,7725.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10000.00,3.35,3.35,1.10,1.60,1.65,1.60,66103.00,165287.74,3024000.00,885775.00,18400.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10800.00,-,-,-,1.90,-,-,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,8850.00,275.00,308.05,275.00,308.05,308.05,308.05,2.00,4.57,14500.00,2275.00,25.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8300.00,666.60,700.00,518.30,673.20,685.35,673.20,1310.00,2921.11,20286000.00,224025.00,7075.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9400.00,26.40,34.00,10.10,21.40,25.65,21.40,474576.00,1117759.97,250637000.00,2259275.00,230475.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10300.00,-,-,-,23.15,-,0.15,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7300.00,1651.00,1700.00,1651.00,1700.00,1700.00,1700.00,41.00,92.24,1741500.00,1000.00,975.00,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7850.00,-,-,-,1285.20,-,1169.80,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,8350.00,-,-,-,849.85,-,712.20,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8500.00,500.00,516.00,352.75,491.25,504.10,491.25,10342.00,23152.34,117559000.00,682875.00,-23075.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9150.00,96.05,100.80,38.70,78.40,85.45,78.40,8311.00,19168.52,15710750.00,56350.00,26550.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,7900.00,1040.00,1061.00,935.45,1048.30,1061.00,1048.30,26.00,58.05,670000.00,19325.00,225.00,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,7250.00,-,-,-,1653.45,-,1756.20,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,8800.00,348.05,373.90,255.05,357.25,369.90,357.25,1349.00,3079.13,11133000.00,76975.00,2775.00,8901.85
NIFTY,28-Feb-2015,30-Apr-2015,CE,9300.00,105.30,117.50,65.00,107.90,117.50,107.90,12386.00,29080.46,28301000.00,279675.00,62325.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,8700.00,348.00,361.55,215.35,325.85,343.55,325.85,51313.00,115411.41,380563500.00,605675.00,-14600.00,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,9950.00,-,-,-,26.50,-,1.65,-,-,-,-,-,8901.85
NIFTY,28-Feb-2015,26-Mar-2015,CE,10250.00,-,-,-,16.55,-,0.25,-,-,-,-,-,8901.85
