Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
NIFTY,31-Dec-2020,26-Jun-2025,CE,12000.00,-,-,-,3538.05,-,4993.55,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Jun-2025,CE,9500.00,-,-,-,4394.30,-,6496.35,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Jun-2025,CE,12500.00,-,-,-,3391.95,-,4729.50,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Jun-2025,CE,10000.00,-,-,-,4204.75,-,6171.65,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Jun-2025,CE,13000.00,-,-,-,3253.10,-,4477.40,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,24-Dec-2025,CE,11500.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,12000.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,12500.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,13000.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,13500.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,14000.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,14500.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,15000.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,15500.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,16000.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,24-Dec-2025,CE,16500.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,31-Dec-2020,28-Dec-2023,CE,16000.00,-,-,-,2361.60,-,2319.45,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,16500.00,-,-,-,2400.25,-,2145.75,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,10500.00,-,-,-,3850.05,-,5158.80,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,8500.00,-,-,-,5018.20,-,6633.50,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,12500.00,-,-,-,2867.95,-,3915.80,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,8000.00,-,-,-,3949.20,-,7032.60,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,12000.00,-,-,-,3094.65,-,4203.40,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,10000.00,-,-,-,4126.10,-,5507.20,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,11500.00,-,-,-,3334.10,-,4506.50,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,13000.00,-,-,-,2654.00,-,3643.65,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,13500.00,-,-,-,2574.65,-,3386.85,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,9500.00,-,-,-,4413.35,-,5869.75,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,9000.00,-,-,-,4711.00,-,6245.50,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,11000.00,-,-,-,3585.85,-,4825.05,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,28-Dec-2023,CE,14000.00,-,-,-,2622.80,-,3145.10,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,12000.00,-,-,-,3630.80,-,4481.20,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,15000.00,-,-,-,2564.05,-,3013.60,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,11500.00,-,-,-,3911.65,-,4774.40,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,15500.00,-,-,-,2669.15,-,2814.75,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,16000.00,-,-,-,2666.10,-,2627.85,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,16500.00,-,-,-,2714.00,-,2452.30,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,11000.00,-,-,-,4204.50,-,5081.75,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,10500.00,-,-,-,4508.50,-,5403.15,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,14500.00,-,-,-,2622.10,-,3224.90,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,10000.00,-,-,-,4822.75,-,5738.35,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,9500.00,-,-,-,5146.10,-,6086.90,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,13500.00,-,-,-,2855.90,-,3686.35,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,14000.00,-,-,-,2914.15,-,3449.00,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,9000.00,-,-,-,5023.80,-,6448.15,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,8000.00,-,-,-,4159.60,-,7205.60,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,13000.00,-,-,-,3107.80,-,3937.35,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,8500.00,-,-,-,4738.80,-,6821.35,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,27-Jun-2024,CE,12500.00,-,-,-,3362.95,-,4202.25,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,10500.00,-,-,-,4287.20,-,5636.15,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,11000.00,-,-,-,3937.05,-,5325.65,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,15500.00,-,-,-,2951.95,-,3108.05,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,16000.00,-,-,-,2954.00,-,2921.20,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,16500.00,-,-,-,3010.75,-,2744.85,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,11500.00,-,-,-,3597.00,-,5028.20,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,12000.00,-,-,-,3269.05,-,4743.90,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,12500.00,-,-,-,2955.25,-,4472.70,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,9000.00,-,-,-,4544.25,-,6643.80,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,13000.00,-,-,-,2657.35,-,4214.45,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,13500.00,-,-,-,3121.55,-,3968.95,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,14500.00,-,-,-,2889.40,-,3514.95,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,14000.00,-,-,-,3189.40,-,3735.85,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,8500.00,-,-,-,4465.25,-,7003.60,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,8000.00,-,-,-,4358.10,-,7374.30,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,9500.00,-,-,-,4547.55,-,6295.60,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,10000.00,-,-,-,4645.35,-,5959.55,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Dec-2024,CE,15000.00,-,-,-,2836.70,-,3305.80,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Jun-2025,CE,10500.00,-,-,-,4024.90,-,5858.85,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Jun-2025,CE,13500.00,-,-,-,3373.40,-,4237.10,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Jun-2025,CE,14000.00,-,-,-,3450.50,-,4008.30,-,-,-,-,-,13981.75
NIFTY,31-Dec-2020,26-Jun-2025,CE,14500.00,-,-,-,3143.20,-,3790.65,-,-,-,-,-,13981.75
