Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
NIFTY,01-Mar-2016,31-Dec-2020,PE,7600.00,-,-,-,98.70,-,639.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8800.00,-,-,-,255.55,-,995.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9900.00,-,-,-,494.65,-,1385.15,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9000.00,-,-,-,292.10,-,1061.90,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9300.00,-,-,-,352.45,-,1165.50,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9800.00,-,-,-,468.80,-,1347.40,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6800.00,-,-,-,43.30,-,445.70,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,7800.00,-,-,-,118.15,-,693.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8100.00,-,-,-,152.00,-,778.50,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8700.00,-,-,-,238.55,-,962.75,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9700.00,-,-,-,444.15,-,1310.10,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,7100.00,-,-,-,60.30,-,514.05,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,7500.00,-,-,-,89.90,-,613.15,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,7300.00,-,-,-,74.05,-,562.45,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8400.00,-,-,-,192.05,-,868.45,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9200.00,-,-,-,331.55,-,1130.50,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5600.00,-,-,-,8.20,-,224.80,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5800.00,-,-,-,11.35,-,255.75,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6000.00,-,-,-,15.35,-,289.20,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6600.00,-,-,-,34.20,-,403.05,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6200.00,-,-,-,20.35,-,324.80,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6400.00,-,-,-,26.60,-,362.75,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6700.00,-,-,-,38.55,-,424.10,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,4900.00,-,-,-,30.75,-,134.60,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,4700.00,-,-,-,95.60,-,113.85,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5100.00,-,-,-,22.10,-,157.55,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5300.00,-,-,-,13.65,-,182.75,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5700.00,-,-,-,9.70,-,240.00,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5900.00,-,-,-,13.25,-,272.10,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6100.00,-,-,-,17.70,-,306.70,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6300.00,-,-,-,23.35,-,343.50,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6500.00,-,-,-,30.20,-,382.60,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,4800.00,-,-,-,34.80,-,123.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,4600.00,-,-,-,86.90,-,104.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5000.00,-,-,-,18.95,-,145.80,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5200.00,-,-,-,34.15,-,169.85,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5400.00,-,-,-,20.55,-,196.15,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,5500.00,-,-,-,6.95,-,210.20,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,9400.00,-,-,-,407.05,-,1264.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,8100.00,-,-,-,193.65,-,809.70,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6900.00,-,-,-,78.05,-,478.25,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,8000.00,-,-,-,181.20,-,778.70,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,7400.00,-,-,-,117.70,-,605.45,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,8600.00,-,-,-,264.05,-,973.25,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,9200.00,-,-,-,367.80,-,1188.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,9300.00,-,-,-,387.15,-,1226.05,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6500.00,-,-,-,54.00,-,388.00,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,8500.00,-,-,-,190.00,190.00,939.35,-,-,-,200.00,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,7300.00,-,-,-,108.85,-,578.75,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,7800.00,-,-,-,158.00,-,718.50,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,7900.00,-,-,-,169.35,-,748.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,8400.00,-,-,-,234.20,-,905.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,9100.00,-,-,-,349.05,-,1151.15,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,9800.00,-,-,-,492.90,-,1422.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6400.00,-,-,-,48.90,-,367.10,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6600.00,-,-,-,59.40,-,409.60,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,7200.00,-,-,-,100.45,-,552.65,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6800.00,-,-,-,71.40,-,454.70,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,9700.00,-,-,-,470.55,-,1382.05,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6700.00,-,-,-,65.20,-,431.85,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,7700.00,-,-,-,147.15,-,689.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,8900.00,-,-,-,313.40,-,1078.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,9000.00,-,-,-,690.00,690.00,1114.45,-,-,-,775.00,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5200.00,-,-,-,233.90,-,166.15,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6300.00,-,-,-,44.20,-,346.80,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6000.00,-,-,-,32.05,-,289.85,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5700.00,-,-,-,346.75,-,238.55,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5400.00,-,-,-,292.50,-,193.20,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,4900.00,-,-,-,29.30,-,130.15,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5100.00,-,-,-,21.05,-,153.55,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,4700.00,-,-,-,92.05,-,109.15,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5600.00,-,-,-,328.15,-,222.80,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5900.00,-,-,-,22.85,-,272.00,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6200.00,-,-,-,39.85,-,327.15,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5300.00,-,-,-,231.05,-,179.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5000.00,-,-,-,18.05,-,141.55,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5500.00,-,-,-,310.15,-,207.70,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,5800.00,-,-,-,365.90,-,254.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,6100.00,-,-,-,35.80,-,308.20,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,4600.00,-,-,-,83.25,-,99.50,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,4800.00,-,-,-,33.30,-,119.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,7200.00,-,-,-,66.90,-,537.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9600.00,-,-,-,420.00,-,1273.25,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8900.00,-,-,-,273.55,-,1028.40,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9500.00,-,-,-,396.65,-,1236.90,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8000.00,-,-,-,140.05,-,749.55,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8300.00,-,-,-,178.00,-,837.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,10400.00,-,-,-,602.80,-,1580.20,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,7700.00,-,-,-,108.10,-,666.05,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,7000.00,-,-,-,54.15,-,490.70,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8600.00,-,-,-,222.30,-,931.00,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,10200.00,-,-,-,577.00,-,1500.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,10300.00,-,-,-,606.10,-,1540.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8500.00,-,-,-,206.80,-,899.45,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,10100.00,-,-,-,548.75,-,1461.90,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,7900.00,-,-,-,128.75,-,721.20,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9400.00,-,-,-,374.15,-,1200.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,10000.00,-,-,-,521.25,-,1423.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,7400.00,-,-,-,81.70,-,587.50,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,8200.00,-,-,-,164.65,-,807.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,9100.00,-,-,-,311.40,-,1095.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,31-Dec-2020,PE,6900.00,-,-,-,48.50,-,467.90,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5900.00,-,-,-,17.20,-,269.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,7200.00,-,-,-,70.40,-,564.75,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,6200.00,-,-,-,24.95,-,326.75,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,8100.00,-,-,-,146.15,-,838.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,8500.00,-,-,-,192.95,-,978.40,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,9400.00,-,-,-,331.90,-,1328.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,6000.00,-,-,-,19.55,-,287.85,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,6300.00,-,-,-,28.05,-,347.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,6400.00,-,-,-,31.45,-,368.60,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,6700.00,-,-,-,43.40,-,436.75,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,7700.00,-,-,-,107.75,-,710.40,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,8900.00,-,-,-,248.70,-,1127.90,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,7100.00,-,-,-,64.25,-,537.70,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,7400.00,-,-,-,84.00,-,620.90,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,8400.00,-,-,-,180.45,-,942.60,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,9300.00,-,-,-,314.10,-,1287.05,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,6100.00,-,-,-,22.10,-,306.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,6900.00,-,-,-,53.10,-,485.80,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,8000.00,-,-,-,135.80,-,806.00,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,8800.00,-,-,-,233.90,-,1089.60,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,7300.00,-,-,-,77.00,-,592.45,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,7600.00,-,-,-,150.00,150.00,679.85,-,-,-,300.00,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,8300.00,-,-,-,168.45,-,907.40,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,6600.00,-,-,-,39.10,-,413.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,9200.00,-,-,-,296.95,-,1246.40,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,7000.00,-,-,-,399.95,399.95,511.40,-,-,-,300.00,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,7900.00,-,-,-,125.95,-,773.45,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,8700.00,-,-,-,219.65,-,1051.90,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,9500.00,-,-,-,350.35,-,1370.10,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,4900.00,-,-,-,27.30,-,123.85,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5400.00,-,-,-,283.25,-,187.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5600.00,-,-,-,46.80,-,218.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,4600.00,-,-,-,78.40,-,93.25,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5200.00,-,-,-,225.70,-,160.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5000.00,-,-,-,16.75,-,135.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,4700.00,-,-,-,87.15,-,102.85,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5500.00,-,-,-,301.00,-,202.80,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5300.00,-,-,-,223.15,-,173.80,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,4800.00,-,-,-,31.15,-,113.05,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5100.00,-,-,-,19.65,-,147.50,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5700.00,-,-,-,44.15,-,234.65,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,26-Dec-2019,PE,5800.00,-,-,-,15.10,-,251.60,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10400.00,-,-,-,639.95,-,1673.65,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10300.00,-,-,-,613.90,-,1630.60,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10900.00,-,-,-,706.55,-,1895.35,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10100.00,-,-,-,563.70,-,1545.85,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10200.00,-,-,-,588.50,-,1588.00,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10800.00,-,-,-,749.85,-,1850.15,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10000.00,-,-,-,539.50,-,1504.20,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,9900.00,-,-,-,515.90,-,1463.00,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10700.00,-,-,-,721.40,-,1805.40,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10600.00,-,-,-,693.55,-,1761.05,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,10500.00,-,-,-,666.25,-,1717.10,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,11000.00,-,-,-,660.10,-,1940.95,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,8300.00,-,-,-,220.10,-,873.50,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,8200.00,-,-,-,206.60,-,841.30,-,-,-,-,-,7222.30
NIFTY,01-Mar-2016,25-Jun-2020,PE,8800.00,-,-,-,296.20,-,1042.75,-,-,-,-,-,7222.30
