Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value
NIFTY,30-Dec-2016,30-Dec-2021,PE,7100.00,-,-,-,126.35,-,123.35,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8900.00,-,-,-,436.30,-,425.10,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8000.00,-,-,-,251.20,-,244.85,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9300.00,-,-,-,538.95,-,525.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,6600.00,-,-,-,79.90,-,78.10,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,7700.00,-,-,-,203.20,-,198.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8500.00,-,-,-,346.35,-,337.50,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9700.00,-,-,-,654.15,-,637.50,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,7200.00,-,-,-,137.50,-,134.20,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8100.00,-,-,-,268.65,-,261.85,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9400.00,-,-,-,566.30,-,552.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,10100.00,-,-,-,782.30,-,762.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,6700.00,-,-,-,88.00,-,86.05,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9000.00,-,-,-,460.75,-,448.95,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9800.00,-,-,-,685.05,-,667.60,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,7300.00,-,-,-,149.25,-,145.65,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8200.00,-,-,-,287.10,-,279.60,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8600.00,-,-,-,367.65,-,358.25,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,6800.00,-,-,-,96.70,-,94.50,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,7800.00,-,-,-,218.50,-,213.00,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,10200.00,-,-,-,816.25,-,795.75,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,5700.00,-,-,-,29.05,-,28.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,5800.00,-,-,-,33.00,-,32.40,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,6000.00,-,-,-,42.00,-,41.20,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,6100.00,-,-,-,47.15,-,46.20,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,6200.00,-,-,-,52.70,-,51.60,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,5900.00,-,-,-,37.30,-,36.60,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,6300.00,-,-,-,58.75,-,57.50,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,9250.00,-,-,-,1024.85,-,952.05,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,28-Dec-2017,PE,5000.00,10.00,10.00,9.00,10.00,10.00,10.00,15.00,56.36,0.11,105525.00,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,7850.00,-,-,-,114.55,-,95.75,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,28-Dec-2017,PE,11400.00,-,-,-,2927.20,2927.20,2539.45,-,-,-,490550.00,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,8550.00,-,-,-,455.40,-,404.80,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,9450.00,-,-,-,1210.15,-,1134.20,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,9050.00,-,-,-,846.80,-,778.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,6700.00,-,-,-,110.55,-,0.90,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,9550.00,-,-,-,1304.75,-,1227.60,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,8950.00,-,-,-,761.50,-,696.00,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,8750.00,-,-,-,600.45,-,541.60,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,29-Jun-2017,PE,7000.00,-,-,-,60.00,60.00,20.60,-,-,-,28950.00,-,8185.80
NIFTY,30-Dec-2016,28-Dec-2017,PE,9500.00,-,-,-,1100.00,1100.00,1000.80,-,-,-,7625.00,-,8185.80
NIFTY,30-Dec-2016,28-Dec-2017,PE,8700.00,-,-,-,520.00,520.00,530.00,-,-,-,16600.00,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,6600.00,-,-,-,95.50,-,0.50,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Mar-2017,PE,6400.00,-,-,-,70.00,-,0.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,29-Jun-2017,PE,4200.00,-,-,-,27.85,-,-,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6300.00,-,-,-,43.55,-,56.35,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6600.00,-,-,-,59.80,-,77.65,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6900.00,-,-,-,80.00,-,104.25,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6000.00,-,-,-,155.65,155.65,39.65,-,-,-,300.00,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7200.00,-,-,-,104.65,-,136.65,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,8000.00,-,-,-,195.20,-,255.20,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,9800.00,-,-,-,554.15,-,716.05,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,8800.00,-,-,-,326.90,-,425.70,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7500.00,-,-,-,134.15,-,175.40,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7800.00,-,-,-,168.95,-,220.90,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,9300.00,-,-,-,431.55,-,559.80,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,9100.00,-,-,-,387.55,-,503.70,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,5800.00,-,-,-,104.95,-,30.80,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,8900.00,-,-,-,346.40,-,450.85,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6100.00,-,-,-,34.75,-,44.75,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7000.00,-,-,-,87.70,-,114.35,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,8300.00,-,-,-,239.45,-,312.95,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6400.00,-,-,-,48.55,-,62.90,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6700.00,-,-,-,66.05,-,85.90,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,8100.00,-,-,-,209.30,-,273.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7300.00,-,-,-,113.95,-,148.80,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,8500.00,-,-,-,272.30,-,355.45,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,9000.00,-,-,-,366.60,-,476.85,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7600.00,-,-,-,145.15,-,189.80,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7900.00,-,-,-,181.75,-,237.65,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,5500.00,-,-,-,79.85,-,20.40,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,5900.00,-,-,-,27.30,-,35.00,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,9500.00,-,-,-,478.45,-,619.70,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,9400.00,-,-,-,454.60,-,589.30,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,9600.00,-,-,-,502.95,-,650.95,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6200.00,-,-,-,38.95,-,50.30,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6500.00,-,-,-,53.95,-,70.00,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,6800.00,-,-,-,72.80,-,94.75,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7100.00,-,-,-,95.90,-,125.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,9700.00,-,-,-,528.20,-,683.05,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7400.00,-,-,-,123.75,-,161.75,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,9200.00,-,-,-,409.20,-,531.45,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,5600.00,-,-,-,88.15,-,23.50,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,7700.00,-,-,-,156.75,-,204.95,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,8200.00,-,-,-,224.05,-,292.95,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,8400.00,-,-,-,255.55,-,333.80,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,24-Jun-2021,PE,8600.00,-,-,-,290.00,-,378.00,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9900.00,-,-,-,716.70,-,698.50,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,7400.00,-,-,-,161.75,-,157.80,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8300.00,-,-,-,306.10,-,298.30,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8700.00,-,-,-,389.75,-,379.75,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,6900.00,-,-,-,106.00,-,103.50,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,7900.00,-,-,-,234.45,-,228.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9100.00,-,-,-,486.05,-,473.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9500.00,-,-,-,594.80,-,579.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,10300.00,-,-,-,851.00,-,829.65,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,7500.00,-,-,-,174.85,-,170.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8400.00,-,-,-,325.85,-,317.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,8800.00,-,-,-,412.60,-,402.05,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,10400.00,-,-,-,886.45,-,864.30,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,6400.00,-,-,-,65.30,-,63.90,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,7000.00,-,-,-,115.85,-,113.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9200.00,-,-,-,512.10,-,499.00,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,9600.00,-,-,-,624.10,-,608.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,10000.00,-,-,-,749.10,-,730.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,10500.00,-,-,-,922.65,-,899.75,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,10600.00,-,-,-,-,-,-,-,-,-,-,-,-
NIFTY,30-Dec-2016,30-Dec-2021,PE,6500.00,-,-,-,72.35,-,70.75,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,30-Dec-2021,PE,7600.00,-,-,-,188.70,-,184.00,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,10800.00,-,-,-,864.85,-,1174.10,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,11100.00,-,-,-,716.35,-,1313.60,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,10700.00,-,-,-,863.65,-,1129.20,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,11000.00,-,-,-,847.55,-,1266.30,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,11300.00,-,-,-,730.90,-,1410.60,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,10500.00,-,-,-,1053.45,-,1042.00,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,10600.00,-,-,-,1058.90,-,1085.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,10900.00,-,-,-,907.10,-,1219.80,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,9200.00,-,-,-,331.55,-,563.05,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,7100.00,-,-,-,60.30,-,125.75,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,7300.00,-,-,-,74.05,-,150.70,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,7500.00,-,-,-,89.90,-,178.85,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,8400.00,-,-,-,192.05,-,348.80,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,7200.00,-,-,-,66.90,-,137.85,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,8900.00,-,-,-,273.55,-,475.60,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,9500.00,-,-,-,396.65,-,659.55,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,7700.00,-,-,-,108.10,-,210.35,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,8000.00,-,-,-,140.05,-,264.15,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,8300.00,-,-,-,178.00,-,326.30,-,-,-,-,-,8185.80
NIFTY,30-Dec-2016,31-Dec-2020,PE,9600.00,-,-,-,420.00,-,693.65,-,-,-,-,-,8185.80
