entryDate,exitDate,signalType,side,strike,expiry,entryLimit,initialStop,target1,trailingStop,finalTarget,exitPrice,profit,capitalAfter
2020-01-03,2020-01-06,BB_reversal,short,12150,09-Jan-2020,23.70,13.70,53.70,43.70,103.70,103.70,6000.00,21000.00
2020-01-06,2020-01-06,BB_reversal,short,11950,09-Jan-2020,36.00,26.00,66.00,56.00,116.00,26.00,-750.00,20250.00
2020-01-07,2020-01-07,BB_reversal,short,12000,09-Jan-2020,17.65,7.65,47.65,37.65,97.65,37.65,1500.00,21750.00
2020-01-10,2020-01-13,BB_reversal,short,12200,16-Jan-2020,39.00,29.00,69.00,59.00,119.00,29.00,-750.00,21000.00
2020-01-31,2020-01-31,breakout,short,11900,06-Feb-2020,97.05,87.05,127.05,117.05,177.05,87.05,-750.00,20250.00
2020-02-01,2020-02-01,breakout,short,11600,06-Feb-2020,81.10,71.10,111.10,101.10,161.10,71.10,-750.00,19500.00
2020-02-10,2020-02-10,breakout,short,12000,13-Feb-2020,34.00,24.00,64.00,54.00,114.00,54.00,1500.00,21000.00
2020-02-17,2020-02-18,breakout,short,12000,20-Feb-2020,20.35,10.35,50.35,40.35,100.35,100.35,6000.00,27000.00
2020-02-24,2020-02-24,breakout,short,11800,27-Feb-2020,65.70,55.70,95.70,85.70,145.70,55.70,-750.00,26250.00
2020-02-26,2020-02-26,breakout,short,11650,27-Feb-2020,17.40,7.40,47.40,37.40,97.40,37.40,1500.00,27750.00
2020-02-28,2020-02-28,breakout,short,11150,05-Mar-2020,142.00,132.00,172.00,162.00,222.00,162.00,1500.00,29250.00
2020-03-02,2020-03-02,breakout,short,11100,05-Mar-2020,120.00,110.00,150.00,140.00,200.00,200.00,6000.00,35250.00
2020-03-06,2020-03-06,breakout,short,10950,12-Mar-2020,139.00,129.00,169.00,159.00,219.00,219.00,6000.00,41250.00
2020-03-09,2020-03-09,BB_reversal,long,10500,12-Mar-2020,112.05,102.05,142.05,132.05,192.05,192.05,6000.00,47250.00
2020-03-09,2020-03-09,breakout,short,10400,12-Mar-2020,105.95,95.95,135.95,125.95,185.95,185.95,6000.00,53250.00
2020-03-16,2020-03-16,breakout,short,9150,19-Mar-2020,398.00,388.00,428.00,418.00,478.00,388.00,-750.00,52500.00
2020-03-17,2020-03-17,breakout,short,8900,19-Mar-2020,270.55,260.55,300.55,290.55,350.55,290.55,1500.00,54000.00
2020-03-18,2020-03-18,breakout,short,8500,19-Mar-2020,197.00,187.00,227.00,217.00,277.00,217.00,1500.00,55500.00
2020-03-23,2020-03-23,breakout,short,7600,26-Mar-2020,359.00,349.00,389.00,379.00,439.00,379.00,1500.00,57000.00
2020-03-30,2020-03-30,breakout,short,8250,01-Apr-2020,227.00,217.00,257.00,247.00,307.00,307.00,6000.00,63000.00
2020-04-17,2020-04-17,breakout,long,9350,23-Apr-2020,151.00,141.00,181.00,171.00,231.00,171.00,1500.00,64500.00
2020-04-22,2020-04-22,breakout,long,9250,23-Apr-2020,41.80,31.80,71.80,61.80,121.80,31.80,-750.00,63750.00
2020-04-27,2020-04-27,breakout,long,9350,30-Apr-2020,90.00,80.00,120.00,110.00,170.00,110.00,1500.00,65250.00
2020-04-28,2020-04-28,breakout,long,9450,30-Apr-2020,59.70,49.70,89.70,79.70,139.70,79.70,1500.00,66750.00
2020-04-29,2020-04-29,breakout,long,9600,30-Apr-2020,15.90,5.90,45.90,35.90,95.90,35.90,1500.00,68250.00
